K,lang,coverage,token_share,ratio
32000,en,0.9653886535606966,0.3333333333333333,0.5
32000,hi,0.999786810105201,0.26283812244748456,0.5
32000,gu,0.9997904566433303,0.4038285442191821,0.5
48000,en,0.9871474602657399,0.3333333333333333,0.5
48000,hi,0.9998934050526005,0.26283812244748456,0.5
48000,gu,0.9998549315223056,0.4038285442191821,0.5
64000,en,0.9871474602657399,0.3333333333333333,0.5
64000,hi,0.9998934050526005,0.26283812244748456,0.5
64000,gu,0.9998549315223056,0.4038285442191821,0.5
32000,en,0.9653886535606966,0.5,1.0
32000,hi,0.999786810105201,0.19712859183561343,1.0
32000,gu,0.9997904566433303,0.30287140816438657,1.0
48000,en,0.9871474602657399,0.5,1.0
48000,hi,0.9998934050526005,0.19712859183561343,1.0
48000,gu,0.9998549315223056,0.30287140816438657,1.0
64000,en,0.9871474602657399,0.5,1.0
64000,hi,0.9998934050526005,0.19712859183561343,1.0
64000,gu,0.9998549315223056,0.30287140816438657,1.0
32000,en,0.9653886535606966,0.6666666666666666,2.0
32000,hi,0.999786810105201,0.13141906122374228,2.0
32000,gu,0.9997904566433303,0.20191427210959104,2.0
48000,en,0.9871474602657399,0.6666666666666666,2.0
48000,hi,0.9998934050526005,0.13141906122374228,2.0
48000,gu,0.9998549315223056,0.20191427210959104,2.0
64000,en,0.9871474602657399,0.6666666666666666,2.0
64000,hi,0.9998934050526005,0.13141906122374228,2.0
64000,gu,0.9998549315223056,0.20191427210959104,2.0
32000,en,0.9653886535606966,0.75,3.0
32000,hi,0.999786810105201,0.09856429591780672,3.0
32000,gu,0.9997904566433303,0.15143570408219328,3.0
48000,en,0.9871474602657399,0.75,3.0
48000,hi,0.9998934050526005,0.09856429591780672,3.0
48000,gu,0.9998549315223056,0.15143570408219328,3.0
64000,en,0.9871474602657399,0.75,3.0
64000,hi,0.9998934050526005,0.09856429591780672,3.0
64000,gu,0.9998549315223056,0.15143570408219328,3.0
